company,industry,website,phone,contact,location,summary,ai_opportunities,status,date_added,date_contacted,notes
Klinidoc,Medical Practice,https://klinidoc.co.za/,041 450 8808,mpadmin@klinidoc.co.za,"95 Cape Road, Mill Park, Gqeberha (plus Cotswold and Newton Park branches)","Multi-branch general practice (Mill Park, Cotswold, Newton Park), open Mon-Sat.","AI WhatsApp assistant for bookings/FAQs across 3 branches; missed-call text-back; automated appointment reminders; cross-branch enquiry routing",approved,2026-07-10,,"Approved by Ewan 2026-07-10. Signed draft created (id r-6704414491224895040), ready to send. DELETE the older unsigned draft (id r-7217443626508677513) in Gmail."
Greenways Family Medical Centre,Medical Practice,https://www.greenwaysmedical.co.za/,041 368 3706,info@greenwaysmedical.co.za,"4 Greenways Avenue, Lovemore Heights, Port Elizabeth","Family medical centre with attached pharmacy, psychology services, and a travel clinic.","WhatsApp assistant to triage enquiries across medical/pharmacy/psychology/travel lines; automated prescription refill reminders; missed-call text-back",approved,2026-07-10,,"Approved by Ewan 2026-07-10. Signed draft created (id r-6402338134364399983), ready to send. DELETE the older unsigned draft (id r7257938677074117269) in Gmail."
Famhealth Medipark,Medical Practice,https://famhealthmedipark.com/,041 457 2075,,"131 Springbok Street, Gelvandale, Gqeberha","GP practice plus home-based caregiver training programme (4000+ graduates since 2010).","WhatsApp booking/reminder assistant (no email listed, phone-first); missed-call text-back; automated chronic medication authorisation follow-ups",approved,2026-07-10,,"Approved by Ewan 2026-07-10. No email - Ewan to send via phone/WhatsApp/website contact using text in drafts/famhealth-medipark.md"
McWilliams & Elliott,Law Firm,https://www.mcwilliams.co.za/,+27 41 582 1250,law@mcwilliams.co.za,"152 Cape Road, Mill Park, Gqeberha","Port Elizabeth's oldest law firm (est. 1853); wide practice areas incl. conveyancing, family law, labour, litigation, immigration, RAF claims.","AI chatbot to triage enquiries to the right practice area; lead capture from website into CRM; automated status-update follow-ups for conveyancing/RAF clients; consultation booking automation",approved,2026-07-10,,"Approved by Ewan 2026-07-10. Signed draft created (id r-5208737990649514041), ready to send. DELETE the older unsigned draft (id r-2089070008939296309) in Gmail."
J.R Bester & Associates,Law Firm,https://www.bestlaw.co.za/,,,Gqeberha (address not publicly confirmed),"Boutique law firm est. 1996; conveyancing, notarial work, debt review, deceased estates, wills, family and commercial law.","Website/WhatsApp chatbot for initial enquiry qualification (wills/estates/conveyancing); automated matter-status follow-ups; missed-call text-back for a small team",approved,2026-07-10,,"Approved by Ewan 2026-07-10. No contact found - Ewan to submit via website contact form using text in drafts/jr-bester-associates.md"
Affinity Real Estate,Property Agency,https://www.affinityrealestate.co.za/,041 373 3283,,"20 Nile Road, Perridgevale, Port Elizabeth","Independent boutique estate agency handling residential sales and rentals.","After-hours AI chatbot for property enquiries; automated lead capture/qualification from Property24 & Private Property into CRM; viewing booking automation; automated post-viewing follow-ups",approved,2026-07-10,,"Approved by Ewan 2026-07-10. No general email - Ewan to send via phone/website contact form using text in drafts/affinity-real-estate.md"
Warren Jack Property Group,Property Agency,https://www.warrenjack.co.za/,041 365 6200,,"74 Cape Road, Mill Park, Port Elizabeth","Established local agency with a multi-agent team covering most PE/Gqeberha suburbs.","Central AI chatbot routing enquiries to the right agent by suburb; CRM integration across multiple agents; automated viewing scheduling; missed-call text-back for high enquiry volume",approved,2026-07-10,,"Approved by Ewan 2026-07-10. No general email - Ewan to send via website contact form using text in drafts/warren-jack-property-group.md"
GQ Dental,Dental Practice,https://gqdental.co.za/,041 008 5138,,"Newton Park, Gqeberha","Dr M. Essack; general, cosmetic, implants, orthodontics & Invisalign.","24/7 WhatsApp booking/hours assistant; missed-call text-back; automated appointment reminders to cut no-shows",researched,2026-07-14,,"Batch 2. Contact from public search - CONFIRM email/best channel on their site before sending. Draft in drafts/gq-dental.md"
Dental Hub,Dental Practice,https://www.dentalhubco.co.za/,083 321 4428,,"22 William St, Newton Park, Gqeberha","Weekday practice (Mon-Fri 8-5). Mobile number is WhatsApp-capable.","After-hours WhatsApp assistant; missed-call text-back; automated appointment reminders",researched,2026-07-14,,"Batch 2. Contact from public search - CONFIRM before sending. Draft in drafts/dental-hub.md"
Every Smile Dentistry,Dental Practice,https://everysmile.co.za/,,,"88 Govan Mbeki St, Central, Gqeberha","General, cosmetic, aesthetic and emergency dentistry.","24/7 assistant for emergency/after-hours enquiries; missed-call text-back; appointment reminders",researched,2026-07-14,,"Batch 2. No email confirmed - use website contact form. CONFIRM before sending. Draft in drafts/every-smile-dentistry.md"
Bliss Hair & Skin Care,Hair & Beauty Salon,https://blisshd.co.za/,041 581 3427,info@blisshd.co.za,"Gqeberha","Award-winning hair and skin care salon. WhatsApp 082 950 6991.","WhatsApp booking/pricing assistant; missed-call text-back; reminders to cut no-shows and prompt rebookings",drafted,2026-07-14,,"Batch 2/3. Gmail draft created with branded signature, ready to send. Email found via search - confirm on their site if unsure."
